Unique_Name,Mass,Class,Family,Guild,Include
Didelphis virginiana,2442,MAMMALIA,DIDELPHIDAE,Omnivore,1
Euryoryzomys nitidus,55,MAMMALIA,CRICETIDAE,Omnivore,0
Ficedula zanthopygia,12,AVES,MUSCICAPIDAE,NA,0
Harpia harpyja,6550,AVES,ACCIPITRIDAE,NA,0
Herpestes sanguineus,544,MAMMALIA,HERPESTIDAE,Omnivore,0
Hydrochoerus hydrochaeris,48145,MAMMALIA,CAVIIDAE,Herbivore,1
Lophura ignita,1815,AVES,PHASIANIDAE,Omnivore,1
Marmosa demerarae,102,MAMMALIA,DIDELPHIDAE,NA,0
Marmosa regina,119,MAMMALIA,DIDELPHIDAE,NA,0
Megascops choliba,132,AVES,STRIGIDAE,NA,0
Microsciurus flaviventer,92,MAMMALIA,SCIURIDAE,NA,0
Muntiacus montanus,18939,MAMMALIA,CERVIDAE,Herbivore,1
Prionailurus planiceps,3533,MAMMALIA,FELIDAE,Omnivore,1
Prionodon pardicolor,1143,MAMMALIA,PRIONODONTIDAE,Omnivore,0
Ratufa bicolor,1156,MAMMALIA,SCIURIDAE,Omnivore,0
Tigrisoma lineatum,813,AVES,ARDEIDAE,NA,0
Trichys fasciculata,1750,MAMMALIA,HYSTRICIDAE,NA,1
Viverra megaspila,NA,MAMMALIA,VIVERRIDAE,NA,0
Alethe castanea,32,AVES,TURDIDAE,NA,0
Euoticus pallidus,277,MAMMALIA,GALAGIDAE,NA,0
Micrastur semitorquatus,631,AVES,FALCONIDAE,Carnivore,0
Pitta irena,81,AVES,PITTIDAE,NA,0
Neotragus moschatus,6499,MAMMALIA,BOVIDAE,Herbivore,1
