Unique_Name,Mass,Class,Family,Guild,Include
Crypturellus soui,220,AVES,TINAMIDAE,Omnivore,1
Crypturellus strigulosus,421,AVES,TINAMIDAE,Omnivore,1
Crypturellus undulatus,300,AVES,TINAMIDAE,Omnivore,1
Crypturellus variegatus,384,AVES,TINAMIDAE,Omnivore,1
Cuculus clamosus,78,AVES,CUCULIDAE,Omnivore,0
Cuniculus paca,8000,MAMMALIA,CUNICULIDAE,Herbivore,1
Cuon alpinus,12760,MAMMALIA,CANIDAE,Carnivore,1
Cynogale bennettii,4500,MAMMALIA,VIVERRIDAE,Carnivore,1
Dasyprocta fuliginosa,3500,MAMMALIA,DASYPROCTIDAE,Herbivore,1
Dasyprocta leporina,3020,MAMMALIA,DASYPROCTIDAE,Herbivore,1
Dasyprocta punctata,2675,MAMMALIA,DASYPROCTIDAE,Herbivore,1
Dasypus kappleri,9500,MAMMALIA,DASYPODIDAE,Herbivore,1
Dasypus novemcinctus,4204,MAMMALIA,DASYPODIDAE,Herbivore,1
Daubentonia madagascariensis,2500,MAMMALIA,DAUBENTONIIDAE,Herbivore,0
Dendrohyrax arboreus,2950,MAMMALIA,PROCAVIIDAE,Herbivore,1
Didelphis marsupialis,1091,MAMMALIA,DIDELPHIDAE,Omnivore,1
Domesticated cow,NA,MAMMALIA,BOVIDAE,Herbivore,0
Domesticated dog,45000,MAMMALIA,CANIDAE,Carnivore,0
Dryolimnas cuvieri,181,AVES,RALLIDAE,Omnivore,0
Echinosorex gymnura,957,MAMMALIA,ERINACEIDAE,Insectivore,1
Eira barbara,3910,MAMMALIA,MUSTELIDAE,Omnivore,1
Electron platyrhynchum,60,AVES,MOMOTIDAE,Omnivore,0
Elephas maximus,2720000,MAMMALIA,ELEPHANTIDAE,Herbivore,1
Eliurus tanala,90,MAMMALIA,NESOMYIDAE,Herbivore,0
Eucometis penicillata,29,AVES,THRAUPIDAE,Omnivore,0
Eulemur rubriventer,1400,MAMMALIA,LEMURIDAE,Herbivore,0
Eulemur rufifrons,300,MAMMALIA,LEMURIDAE,Herbivore,1
Euoticus elegantulus,3000,MAMMALIA,GALAGIDAE,Omnivore,0
Eupetes macrocerus,69,AVES,EUPETIDAE,Insectivore,0
Eupleres goudotii,1500,MAMMALIA,EUPLERIDAE,Carnivore,1
Formicarius analis,59,AVES,FORMICARIIDAE,Insectivore,0
Formicarius colma,46,AVES,FORMICARIIDAE,Insectivore,0
Formicarius nigricapillus,70,AVES,FORMICARIIDAE,Insectivore,0
Fossa fossana,218,MAMMALIA,EUPLERIDAE,Carnivore,1
Francolinus africanus,426,AVES,PHASIANIDAE,Herbivore,1
Francolinus lathami,269,AVES,PHASIANIDAE,Herbivore,1
Francolinus nobilis,757,AVES,PHASIANIDAE,Herbivore,1
Francolinus pintadeanus,340,AVES,PHASIANIDAE,Herbivore,1
Francolinus squamatus,472,AVES,PHASIANIDAE,Herbivore,1
Funisciurus anerythrus,286,MAMMALIA,SCIURIDAE,Herbivore,1
Funisciurus carruthersi,141,MAMMALIA,SCIURIDAE,Herbivore,0
Funisciurus lemniscatus,250,MAMMALIA,SCIURIDAE,Herbivore,1
Funisciurus leucogenys,297,MAMMALIA,SCIURIDAE,Herbivore,1
Funisciurus pyrropus,3200,MAMMALIA,SCIURIDAE,Herbivore,1
Furnarius leucopus,57,AVES,FURNARIIDAE,Insectivore,0
Galagoides demidovii,70,MAMMALIA,GALAGIDAE,Insectivore,0
Galictis vittata,3200,MAMMALIA,MUSTELIDAE,Carnivore,1
Galidia elegans,800,MAMMALIA,EUPLERIDAE,Carnivore,1
Galidictis fasciata,550,MAMMALIA,EUPLERIDAE,Carnivore,1
Gallus gallus,914,AVES,PHASIANIDAE,Omnivore,1
Genetta servalina,1055,MAMMALIA,VIVERRIDAE,Carnivore,1
Genetta tigrina,2225,MAMMALIA,VIVERRIDAE,Carnivore,1
Genetta victoriae,3000,MAMMALIA,VIVERRIDAE,Carnivore,0
Geotrygon frenata,305,AVES,COLUMBIDAE,Omnivore,1
Geotrygon montana,280,AVES,COLUMBIDAE,Omnivore,1
Geotrygon saphirina,203,AVES,COLUMBIDAE,NA,0
Geotrygon violacea,190,AVES,COLUMBIDAE,Omnivore,1
Gorilla beringei,124251,MAMMALIA,HOMINIDAE,Herbivore,1
Gorilla gorilla,180000,MAMMALIA,HOMINIDAE,Herbivore,1
Grallaria varia,119,AVES,FORMICARIIDAE,Insectivore,0
Guttera plumifera,1200,AVES,NUMIDIDAE,Omnivore,1
Guttera pucherani,1200,AVES,NUMIDIDAE,Omnivore,1
Hapalemur griseus,2000,MAMMALIA,LEMURIDAE,Herbivore,0
Helarctos malayanus,47000,MAMMALIA,URSIDAE,Omnivore,1
Hemicentetes nigriceps,100000,MAMMALIA,TENRECIDAE,Carnivore,1
Hemicentetes semispinosus,138,MAMMALIA,TENRECIDAE,Carnivore,1
Hemigalus derbyanus,2000,MAMMALIA,VIVERRIDAE,Carnivore,1
Herpestes brachyurus,2000,MAMMALIA,HERPESTIDAE,Carnivore,1
Herpestes naso,3000,MAMMALIA,HERPESTIDAE,Omnivore,1
Herpestes urva,1863,MAMMALIA,HERPESTIDAE,Carnivore,1
Heteromys desmarestianus,73,MAMMALIA,HETEROMYIDAE,Herbivore,0
Himantornis haematopus,390,AVES,RALLIDAE,Omnivore,1
Homo sapiens,62000,MAMMALIA,HOMINIDAE,Omnivore,0
Hoplomys gymnurus,240,MAMMALIA,ECHIMYIDAE,Omnivore,1
Hydrochoerus isthmius,10850,MAMMALIA,CAVIIDAE,Herbivore,1
Hyemoschus aquaticus,188500,MAMMALIA,TRAGULIDAE,Herbivore,1
Hylochoerus meinertzhageni,14936,MAMMALIA,SUIDAE,Omnivore,1
Hylophylax naevioides,17,AVES,THAMNOPHILIDAE,Insectivore,0
Hystrix africaeaustralis,8000,MAMMALIA,HYSTRICIDAE,Omnivore,1
Hystrix brachyura,8000,MAMMALIA,HYSTRICIDAE,Omnivore,1
Jacana jacana,120,AVES,JACANIDAE,Insectivore,0
Lariscus insignis,200,MAMMALIA,SCIURIDAE,Omnivore,1
Leopardus pardalis,11900,MAMMALIA,FELIDAE,Carnivore,1
Leopardus tigrinus,2250,MAMMALIA,FELIDAE,Carnivore,1
Leopardus wiedii,3250,MAMMALIA,FELIDAE,Carnivore,1
Leopoldamys sabanus,391,MAMMALIA,MURIDAE,Insectivore,1
Lepilemur microdon,900,MAMMALIA,LEPILEMURIDAE,Omnivore,0
Leptailurus serval,12000,MAMMALIA,FELIDAE,Carnivore,1
Leptotila cassini,156,AVES,COLUMBIDAE,Omnivore,1
Leptotila rufaxilla,155,AVES,COLUMBIDAE,Omnivore,1
Leptotila verreauxi,155,AVES,COLUMBIDAE,Omnivore,1
Leucopternis albicollis,745,AVES,ACCIPITRIDAE,Carnivore,0
Leucopternis schistaceus,1000,AVES,ACCIPITRIDAE,Carnivore,0
Lophotibis cristata,NA,AVES,THRESKIORNITHIDAE,Omnivore,1
Lophura diardi,1041,AVES,PHASIANIDAE,Omnivore,1
Lophura nycthemera,1358,AVES,PHASIANIDAE,Omnivore,1
Loxodonta africana,3940034,MAMMALIA,ELEPHANTIDAE,Herbivore,1
Lutra lutra,11000,MAMMALIA,MUSTELIDAE,Carnivore,1
Macaca arctoides,5000,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Macaca assamensis,12000,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Macaca fascicularis,4750,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Macaca leonina,6093,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Macaca nemestrina,6500,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Malacocincla malaccensis,21.4,AVES,TIMALIIDAE,NA,0
Mandrillus leucophaeus,15000,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Manis javanica,5150,MAMMALIA,MANIDAE,Insectivore,1
Marmosa mexicana,50,MAMMALIA,DIDELPHIDAE,Omnivore,0
Marmosa murina,26,MAMMALIA,DIDELPHIDAE,Omnivore,0
Marmosa robinsoni,57,MAMMALIA,DIDELPHIDAE,Omnivore,0
Martes flavigula,1185,MAMMALIA,MUSTELIDAE,Omnivore,1
Mazama americana,22800,MAMMALIA,CERVIDAE,Herbivore,1
Mazama gouazoubira,8000,MAMMALIA,CERVIDAE,Herbivore,1
Mazama nemorivaga,672,MAMMALIA,CERVIDAE,Herbivore,1
Mazama temama,2100,MAMMALIA,CERVIDAE,Herbivore,1
Mellivora capensis,9000,MAMMALIA,MUSTELIDAE,Carnivore,1
Melogale moschata,939,MAMMALIA,MUSTELIDAE,Insectivore,0
Melogale personata,1703,MAMMALIA,MUSTELIDAE,Insectivore,1
Metachirus nudicaudatus,375,MAMMALIA,DIDELPHIDAE,Omnivore,1
Micrastur mirandollei,485,AVES,FALCONIDAE,Carnivore,0
Microgale cowani,14,MAMMALIA,TENRECIDAE,Omnivore,0
Mitu salvini,3100,AVES,CRACIDAE,Omnivore,1
Mitu tuberosum,3060,AVES,CRACIDAE,Omnivore,1
Momotus momota,102,AVES,MOMOTIDAE,Omnivore,0
Monasa atra,91,AVES,BUCCONIDAE,Insectivore,0
