"Site.Code","CT.mean","CT.median","CT.mode","CT.nbsp","CT.sing.sp","CT.FEve","CT.FDiv","CT.FDis","CT.RaoQ","CWM.Mass","CWM.Litter","CWM.GR","CT.Shannon","CT.meanB","CT.medianB","CT.modeB","B.CT.nbsp","B.CT.sing.sp","B.CT.FEve","B.CT.FDiv","B.CT.FDis","B.CT.RaoQ","B.CWM.Mass","B.CT.Shannon","V.FEve.x","V.FDis.x","V.RaoQ.x","V.CWM.maxD.x","V.CWM.WD2.x","V.TRich.x","V.LRich.x","V.NStemsT.x","V.TShan.x","V.NStemsL.x","V.Cstorage.x","RainTotal","Rain.CV","Elev.Mean","Elev.CV","Latitude","Year","Continent1","V.FEve.y","V.FDis.y","V.RaoQ.y","V.CWM.maxD.y","V.CWM.WD2.y","V.TRich.y","V.LRich.y","V.NStemsT.y","V.TShan.y","V.NStemsL.y","V.Cstorage.y"
"BBS",29,26,24,20,20,0.5986759593615,NA,0.28197196243224,0.088648150193929,69102.6282273602,1.58684138453069,6177377.83321236,2.46350423406008,20.69,14,6,4,4,0.664795661819292,NA,0.334746132895033,0.157197989573609,1742.81002495389,0.863226486132494,0.61258058937735,1.40453799964524,2.45309632301446,56.44524939568,0.561241175660014,66.5,1.5,418.833333333333,3.33298039463303,6.66666666666667,136572.226473374,2871,0.146449180442453,122.566666666667,0.546548122421907,-5.660064711,2011,"Asia",0.0326536113141322,0.175247911018681,0.269667796138306,0.153641546914097,0.0562549461354541,0.182878411901153,0.557773351022717,0.242178842865975,0.108150732874833,0.720416546173115,0.431751130501988
"BCI",22,21,20,20,20,0.5844065268437,NA,0.299368084240461,0.0938397270426586,8113.65422970853,2.56001439868355,7995791.38048849,2.64529812164577,16.6,14,10,8,8,0.703666959912458,NA,0.117122743274844,0.0290328682864209,1172.20315562993,1.46646337809855,0.620569179194191,1.30561729225499,2.45217848854684,50.5382299082317,0.560046014420393,71.3333333333333,3.33333333333333,504,3.40110393780206,6.83333333333333,132853.561073008,2420,0.608805250732843,94.2833333333333,0.445162189486937,9.16277888844414,2011,"America",0.0359249015254208,0.16074878193902,0.342732325116383,0.0615714268568825,0.0645362054494796,0.107375002739029,0.903327183250897,0.140791950742228,0.0632848056508476,1.00291069551415,0.170452645149893
"CAX",23,22,21,21,21,0.580755659686869,NA,0.279010696660208,0.0870794282063154,27806.4036977143,2.35782880009583,11882334.0493564,2.80684575258064,15.73,13,10,8,8,0.695638211571924,NA,0.180116715070651,0.0433805423478559,1742.7842053992,1.34857865920084,0.630820503385064,1.08900202396462,1.47382872770748,66.155474212919,0.716398363946373,87.1666666666667,6.16666666666667,473.666666666667,3.47007317607709,10.8333333333333,258712.77593811,2342,0.574869877577099,37.7833333333333,0.364104546135673,-1.76955939,2012,"America",0.0230630610488886,0.0945996009703961,0.135046247029178,0.0990324317298614,0.0321001481202421,0.118207124405918,0.259797077636712,0.0754219731612816,0.0899382382380215,0.250537882902428,0.14191330119795
"COU",33,31,29,25,25,0.523774897052512,NA,0.284592796890821,0.0909128217445285,26424.9088386519,2.19800013397125,10741916.2593503,2.90405226453382,18.85,16,13,11,11,0.499611194761474,NA,0.204915639301755,0.0699599684109044,1448.87488099318,1.85791075093957,0.616628645687919,1.17677481075743,1.85340434685161,51.7088166203214,0.550520267273632,102.333333333333,2.33333333333333,585.333333333333,3.8441843566374,7,163329.338280182,3394,0.429439949163646,349.416666666667,0.0436686474181528,-11.91861461,2011,"America",0.0589842077057979,0.0476527975083759,0.0932835597735805,0.0710984177254717,0.0351875271096364,0.135075114000089,0.964682458064808,0.0471682982087914,0.0739137265712773,0.325764407171182,0.237224241952099
"KRP",26,25,23,20,20,0.806018557565057,NA,0.273896893481069,0.0788340060324657,37278.7592885545,1.53160848212039,2764329.43293394,2.72188496389991,8.04,7,6,6,6,0.410394985748912,NA,0.203012194377324,0.0679304137357724,580.932266953424,1.34693399458887,0.557426865234328,1.1696626554633,1.87670298867601,57.7143603376582,0.643082767736297,71.6666666666667,3.83333333333333,488.5,3.30457530584137,7.83333333333333,183547.216058582,2744,0.714947655807725,168.483333333333,0.470862531438323,5.043633945,2011,"Africa",0.0935982013349438,0.0682255003885675,0.15110938034661,0.0934349440812958,0.0296278099879073,0.198447189907695,0.532497770170256,0.19456012695538,0.0860840700116448,0.544115397980614,0.245205780216741
"MAS",30,28,26,20,20,0.558010105806251,NA,0.288571778857145,0.0909778679059312,25585.4741558398,2.28853315280948,10604938.5860303,2.65323922720256,7.63,7,7,7,6,0.387404976888502,NA,0.106550566594985,0.0247044597778906,1281.71385912034,1.65787333490358,0.616825300528452,1.26177372835863,1.81220082962059,50.3362501053365,0.676902009556039,123.166666666667,8.16666666666667,624.833333333333,4.02313598814624,18.5,166599.11623691,2192,0.428613962549235,102.6,0.220156480626279,-2.66008553444444,2011,"America",0.0666125836760774,0.0388506937565073,0.0670383920715397,0.0338946641395869,0.0384605977354148,0.0338349116103534,0.18024001768016,0.0587722098142315,0.0240389664454453,0.544579504854321,0.170714541119535
"NNN",38,36,33,28,28,0.535798301079237,NA,0.270259897361662,0.0817220452684212,285186.868202097,1.39442540034206,5416548.5106875,2.97111880962604,8.71,7,4,4,4,0.514951126560253,NA,0.391568808281418,0.179057050949966,888.029345042078,1.13991214576726,0.568134832521871,1.13551990630807,1.86243572258267,73.9366082098842,0.6457760609358,48.75,0.25,341.25,3.2433701308772,5,215948.366280967,1662,0.456880046314339,460.063492063492,0.0497177788568572,2.49772849421875,2011,"Africa",0.088959197067578,0.0832283023128564,0.226924486321505,0.133433175484485,0.0566832565429486,0.102393019705107,2,0.115428989277433,0.0716980239843457,0.163299316185545,0.299657089793382
"PSH",36,34,31,28,28,0.627135280037155,NA,0.317446697669667,0.114543612085563,54720.8857064634,1.94780334014279,5758688.59977967,2.73540569077846,6.76,5,3,3,3,0.596691594121901,NA,0.169375748463458,0.0814512270598123,1134.66279069767,0.875964932461499,0.651900268901594,1.30727587725589,2.12441516095709,56.0663120123057,0.561552354340697,86.1666666666667,1.16666666666667,416.833333333333,3.78340154815692,1.33333333333333,126936.966801322,2067,0.294726412031807,457.466666666667,0.452670571304652,3.08176435324942,2012,"Asia",0.0419571330639057,0.0710886123261401,0.142413931108855,0.0739271847006514,0.0730216523471967,0.209980001965996,1.37321312465119,0.311596159687291,0.0676814089724959,1.22474487139159,0.353641647169215
"RNF",12,11,11,11,11,0.630574972489525,NA,0.237026618354521,0.0733092309735888,5282.28347933266,2.81489738962011,831961.25202738,2.16375320969052,10.37,8,5,5,5,0.604301253113641,NA,0.052618378499371,0.0112654914865571,233.252451278558,1.07927759288348,0.519838064117353,1.15910291962644,1.63498787240136,62.3123358082257,0.601824841954515,63.8333333333333,1.16666666666667,1071,3.27410555640442,1.16666666666667,199139.433511133,1553,0.686232526884066,1083.06666666667,0.12862508338763,-21.2371676666667,2011,"Africa",0.0821777087037912,0.0893314135418012,0.135170400095073,0.0839620633845244,0.0282889649092513,0.140614521801701,1.00203873810001,0.222236345069826,0.100190252328729,1.00203873810001,0.281516450311265
"UDZ",38,35,31,24,24,0.523307511169681,NA,0.271951309380147,0.0816765090557279,157892.757788861,1.57615598052934,4513983.99984345,2.69135877539514,7.43,4,3,3,3,0.58032073419258,NA,0.43850786850297,0.214998397734253,848.33136219641,0.786780128300759,0.500865981143463,1.01372971644927,1.43323130057273,72.6690597095688,0.63212470596258,31.8333333333333,2,534.333333333333,2.33675165846175,5.66666666666667,143946.814590953,1371,0.91002101338918,1143.81967213115,0.323974035787027,-7.7709074557377,2011,"Africa",0.261124515952867,0.403094364913224,0.671239934489042,0.125624665256909,0.0799812111852138,0.300926449751204,0.894427190999916,0.174507541759933,0.294490357259486,1.01476981895754,0.245950072013118
