"Site.Code","CT.nbsp","CT.sing.sp","CT.FEve","CT.FDiv","CT.FDis","CT.RaoQ","CWM.Mass","CWM.Litter","CWM.GR","CT.Shannon"
"BBS",24,24,0.604978075023549,NA,0.282824726057966,0.0867272406689426,61519.8461961233,1.58684138453069,6660558.2698482,2.63521660610096
"BCI",28,28,0.504519312633033,NA,0.28889727654989,0.0885559189842497,7159.63063077864,2.56001439868355,7995791.38048849,2.88356716670894
"BIF",22,22,0.729581714936933,NA,0.270565676880372,0.076693570510414,121025.212856639,1.39493884576267,3621970.35161705,2.54209051730507
"CAX",29,29,0.567456154333982,NA,0.287297247477531,0.0935610146566338,24600.4158840996,2.35782880009583,12019614.6797364,3.00034202825571
"COU",36,36,0.450655547316191,NA,0.300560745161602,0.0988707207328981,18958.4887315626,2.19800013397125,10741916.2593503,3.2012815539484
"KRP",26,26,0.579773035336415,NA,0.256002605423639,0.0724739401582657,29534.4209109501,1.53160848212039,2907518.39608144,2.94704721727836
"MAS",27,27,0.528731963018043,NA,0.285432979405752,0.0943395203227651,17929.8565624976,2.28853315280948,10604938.5860303,2.9627425661649
"NNN",32,32,0.688294484506182,NA,0.27454127961367,0.084028518656255,253652.29628858,1.39442540034206,5146372.05753288,3.11643600027285
"PSH",31,31,0.632388702088531,NA,0.317446943606121,0.114777428378533,53029.068834003,1.94240140681928,5919660.12093899,2.81686404796217
"RNF",16,16,0.726662767244211,NA,0.288518452834695,0.0941694166630525,3940.72558602588,2.81489738962011,832232.107377999,2.45242500757558
"UDZ",27,27,0.485454001232907,NA,0.270810196662851,0.0822979511922785,146867.357603817,1.57615598052934,4399737.22783826,2.81181714325967
"VB-",21,21,0.581903798531059,NA,0.289285024779236,0.0952193442162964,46752.1509977331,1.75259383972302,8236284.98976218,2.4712740250998
"YAN",23,23,0.532828128159788,NA,0.279930826429251,0.0886539999897071,26023.5590064596,2.13420798477509,12247513.933391,2.63111267532356
"YAS",37,37,0.508057800836346,NA,0.299145711674026,0.0954676984619842,15537.9990884816,2.0332420613807,11582814.6373683,3.26842468106278
