"Plot","Cstorage"
"CAX.2011.01.VG-CAX-3",256506.855673557
"CAX.2011.01.VG-CAX-4",244475.272615736
"CAX.2011.01.VG-CAX-5",310442.846311834
"CAX.2011.01.VG-CAX-6",201253.197001328
"CAX.2012.01.VG-CAX-1",235592.721930387
"CAX.2012.01.VG-CAX-2",257473.144940392
"CAX.2012.01.VG-CAX-3",296478.860680986
"CAX.2012.01.VG-CAX-4",266850.364117753
"CAX.2012.01.VG-CAX-5",295908.372881789
"CAX.2012.01.VG-CAX-6",200753.084395734
"CAX.2013.01.VG-CAX-1",238671.337283419
"CAX.2013.01.VG-CAX-2",263753.879091882
"CAX.2013.01.VG-CAX-3",336145.985213024
"CAX.2013.01.VG-CAX-4",265788.821228948
"CAX.2013.01.VG-CAX-5",306945.100758691
"CAX.2013.01.VG-CAX-6",199427.179645191
"COU.2011.01.VG-COU-1",201321.156416405
"COU.2011.01.VG-COU-2",188142.399135444
"COU.2011.01.VG-COU-3",116753.845111481
"COU.2011.01.VG-COU-4",113039.195131488
"COU.2011.01.VG-COU-5",172266.684270121
"COU.2011.01.VG-COU-6",189857.154618626
"COU.2012.01.VG-COU-1",197194.351507651
"COU.2012.01.VG-COU-2",197119.024522966
"COU.2012.01.VG-COU-3",151214.10363296
"COU.2012.01.VG-COU-4",118048.794801573
"COU.2012.01.VG-COU-5",179249.898709494
"COU.2012.01.VG-COU-6",188365.284076587
"COU.2013.01.VG-COU-1",194594.285854659
"COU.2013.01.VG-COU-2",207848.236628689
"COU.2013.01.VG-COU-3",120600.719753321
"COU.2013.01.VG-COU-4",130520.439384399
"COU.2013.01.VG-COU-5",197004.443423964
"COU.2013.01.VG-COU-6",189530.111831578
"CSN.2010.01.VG-CSN-1",185716.464589837
"CSN.2010.01.VG-CSN-2",132798.663395019
"CSN.2010.01.VG-CSN-5",155934.856078684
"CSN.2011.01.VG-CSN-1",1923111.01193647
"CSN.2011.01.VG-CSN-2",134595.947143334
"CSN.2011.01.VG-CSN-3",47803.2669818746
"CSN.2011.01.VG-CSN-5",7257323.99243078
"CSN.2013.01.VG-CSN-1",161159.795120661
"CSN.2013.01.VG-CSN-2",135616.64402797
"CSN.2013.01.VG-CSN-3",49903.2403081769
"CSN.2013.01.VG-CSN-5",155687.062684062
"KRP.2011.01.VG-KRP-1",163958.219404778
"KRP.2011.01.VG-KRP-2",165949.228608717
"KRP.2011.01.VG-KRP-3",193349.031171041
"KRP.2011.01.VG-KRP-4",122008.758587566
"KRP.2011.01.VG-KRP-5",212378.437107862
"KRP.2011.01.VG-KRP-6",229569.250454493
"KRP.2012.01.VG-KRP-1",160518.250657184
"KRP.2012.01.VG-KRP-2",167537.329172047
"KRP.2012.01.VG-KRP-3",195972.006980713
"KRP.2012.01.VG-KRP-4",124036.969461403
"KRP.2012.01.VG-KRP-5",213922.178265836
"KRP.2012.01.VG-KRP-6",232261.866523025
"MAS.2003.01.VG-MAS-1",217761.300018687
"MAS.2003.01.VG-MAS-2",185270.929781591
"MAS.2003.01.VG-MAS-3",156220.963267432
"MAS.2003.01.VG-MAS-4",135303.866288889
"MAS.2003.01.VG-MAS-5",158534.967675845
"MAS.2003.01.VG-MAS-6",143783.817488281
"MAS.2004.01.VG-MAS-1",211713.809104838
"MAS.2004.01.VG-MAS-2",184946.590000998
"MAS.2004.01.VG-MAS-3",157173.325948374
"MAS.2004.01.VG-MAS-4",136724.943001762
"MAS.2004.01.VG-MAS-5",159530.259859697
"MAS.2004.01.VG-MAS-6",144992.218468949
"MAS.2005.01.VG-MAS-1",179710.384688763
"MAS.2005.01.VG-MAS-2",184339.994577093
"MAS.2005.01.VG-MAS-3",157502.424021383
"MAS.2005.01.VG-MAS-4",137572.407820626
"MAS.2005.01.VG-MAS-5",154054.210861224
"MAS.2005.01.VG-MAS-6",144256.520379166
"MAS.2006.01.VG-MAS-1",172766.082746419
"MAS.2006.01.VG-MAS-2",185871.128373223
"MAS.2006.01.VG-MAS-3",159307.786351806
"MAS.2006.01.VG-MAS-4",136746.060674921
"MAS.2006.01.VG-MAS-5",148340.211634082
"MAS.2006.01.VG-MAS-6",145564.225576273
"MAS.2007.01.VG-MAS-1",175256.70797604
"MAS.2007.01.VG-MAS-2",188577.003306895
"MAS.2007.01.VG-MAS-3",161353.170892223
"MAS.2007.01.VG-MAS-4",136443.187528007
"MAS.2007.01.VG-MAS-5",151457.795735539
"MAS.2007.01.VG-MAS-6",144423.450980411
"MAS.2008.01.VG-MAS-1",208994.50143029
"MAS.2008.01.VG-MAS-2",189921.189099089
"MAS.2008.01.VG-MAS-3",162291.601563887
"MAS.2008.01.VG-MAS-4",139394.25327714
"MAS.2008.01.VG-MAS-5",152931.732990273
"MAS.2008.01.VG-MAS-6",145575.647564851
"MAS.2009.01.VG-MAS-1",206693.591533744
"MAS.2009.01.VG-MAS-2",186579.931152485
"MAS.2009.01.VG-MAS-3",162937.690709143
"MAS.2009.01.VG-MAS-4",141287.739865235
"MAS.2009.01.VG-MAS-5",152916.82878479
"MAS.2009.01.VG-MAS-6",145762.506841151
"MAS.2010.01.VG-MAS-1",211862.660748376
"MAS.2010.01.VG-MAS-2",185082.486774098
"MAS.2010.01.VG-MAS-3",162983.895932275
"MAS.2010.01.VG-MAS-4",141967.501125822
"MAS.2010.01.VG-MAS-5",152638.043637914
"MAS.2010.01.VG-MAS-6",143764.704715409
"MAS.2011.01.VG-MAS-1",215507.974390373
"MAS.2011.01.VG-MAS-2",183846.121842385
"MAS.2011.01.VG-MAS-3",162466.971323234
"MAS.2011.01.VG-MAS-4",142175.370003233
"MAS.2011.01.VG-MAS-5",152037.136547004
"MAS.2011.01.VG-MAS-6",144514.495613395
"NNN.2009.01.VG-NNN-1",229263.446161483
"NNN.2009.01.VG-NNN-2",247658.135683288
"NNN.2009.01.VG-NNN-3",167406.103319885
"NNN.2009.01.VG-NNN-4",190982.360632202
"NNN.2009.01.VG-NNN-5",285871.562606904
"NNN.2009.01.VG-NNN-6",156018.938396946
"NNN.2010.01.VG-NNN-1",210318.806864835
"NNN.2010.01.VG-NNN-2",244141.760894729
"NNN.2010.01.VG-NNN-3",160196.725563917
"NNN.2010.01.VG-NNN-4",189310.240397548
"NNN.2010.01.VG-NNN-5",287486.655807849
"NNN.2010.01.VG-NNN-6",146083.007049446
"NNN.2011.01.VG-NNN-1",286732.853833804
"NNN.2011.01.VG-NNN-2",264956.045627282
"NNN.2011.01.VG-NNN-3",166650.248116342
"NNN.2011.01.VG-NNN-4",233989.370744301
"NNN.2011.01.VG-NNN-5",296692.46584454
"NNN.2011.01.VG-NNN-6",153911.25851757
"NNN.2012.01.VG-NNN-1",292060.83180061
"NNN.2012.01.VG-NNN-2",270413.72903826
"NNN.2012.01.VG-NNN-3",168874.420618777
"NNN.2012.01.VG-NNN-4",238962.145145278
"NNN.2012.01.VG-NNN-5",303614.163260852
"NNN.2012.01.VG-NNN-6",157959.154312749
"PSH.2012.01.VG-PSH-1",129141.591573442
"PSH.2012.01.VG-PSH-2",136142.705864641
"PSH.2012.01.VG-PSH-3",173830.405296844
"PSH.2012.01.VG-PSH-4",136148.789750777
"PSH.2012.01.VG-PSH-5",139516.720097785
"PSH.2012.01.VG-PSH-6",40889.8057356684
"PSH.2013.01.VG-PSH-1",135769.286201693
"PSH.2013.01.VG-PSH-2",140348.515181769
"PSH.2013.01.VG-PSH-3",170041.431313779
"PSH.2013.01.VG-PSH-4",736108.311352947
"PSH.2013.01.VG-PSH-5",137876.64950036
"PSH.2013.01.VG-PSH-6",41509.0069592885
"PSH.2014.01.VG-PSH-1",138736.730175155
"PSH.2014.01.VG-PSH-2",138706.781815011
"PSH.2014.01.VG-PSH-3",343043.576562106
"RNF.2010.01.VG-RNF-1",278336.249122589
"RNF.2010.01.VG-RNF-2",238863.728324232
"RNF.2010.01.VG-RNF-3",171234.828061111
"RNF.2010.01.VG-RNF-4",160948.150437471
"RNF.2010.01.VG-RNF-5",163506.050448083
"RNF.2010.01.VG-RNF-6",187183.407306335
"RNF.2011.01.VG-RNF-1",276913.912024471
"RNF.2011.01.VG-RNF-2",252031.90488586
"RNF.2011.01.VG-RNF-3",179080.298495375
"RNF.2011.01.VG-RNF-4",158167.650148097
"RNF.2011.01.VG-RNF-5",127414.228538339
"RNF.2011.01.VG-RNF-6",199881.661737166
"RNF.2012.01.VG-RNF-1",271609.081015825
"RNF.2012.01.VG-RNF-2",249696.48051805
"RNF.2012.01.VG-RNF-3",173190.786363056
"RNF.2012.01.VG-RNF-4",152812.535989888
"RNF.2012.01.VG-RNF-5",126380.025676027
"RNF.2012.01.VG-RNF-6",193093.232775548
"RNF.2013.01.VG-RNF-3",174263.962903474
"RNF.2013.01.VG-RNF-4",152397.360228521
"RNF.2013.01.VG-RNF-5",126294.353718943
"RNF.2013.01.VG-RNF-6",198317.873317001
"UDZ.2008.01.VG-UDZ-5",79302.6906769145
"UDZ.2009.01.VG-UDZ-1",130517.964834351
"UDZ.2009.01.VG-UDZ-2",162036.155388924
"UDZ.2009.01.VG-UDZ-3",122771.331119495
"UDZ.2009.01.VG-UDZ-4",169396.338167006
"UDZ.2009.01.VG-UDZ-5",80992.6816745388
"UDZ.2009.01.VG-UDZ-6",170987.113649666
"UDZ.2010.01.VG-UDZ-1",138067.288068586
"UDZ.2010.01.VG-UDZ-2",169588.395826354
"UDZ.2010.01.VG-UDZ-3",126914.874057093
"UDZ.2010.01.VG-UDZ-4",162998.334079304
