"(Intercept)","Elev.CV","RainTotal","V.NStemsT","Latitude","V.TShan","ForestLossZOI","V.Cstorage2","PA_area","df","logLik","AICc","delta","weight"
2.85282876220488,NA,NA,-0.116936404504124,NA,0.0998345102252178,NA,NA,0.120506480244341,5,5.17210239065536,7.15579521868927,8.45938728553069,0.00511558699686373
2.85282876220488,NA,NA,NA,-0.0988958550596389,NA,-0.0944242118741503,NA,0.0985938120735473,5,5.13681908752246,7.22636182495507,8.52995389179649,0.00493823929465331
2.85282876220488,NA,NA,NA,NA,0.0834449915974304,NA,NA,0.119019511631211,4,2.5981053764448,7.24823369155484,8.55182575839626,0.00488452925907635
2.85282876220488,-0.148472588220696,NA,-0.144945060212039,NA,0.140210648021011,NA,0.0323112047425066,NA,6,8.3655845557772,7.26883088844561,8.57242295528703,0.00483448359606025
2.85282876220488,-0.0832602017122651,NA,NA,NA,NA,NA,NA,0.112994932753135,4,2.52756165867943,7.38932112708558,8.692913193927,0.00455182931090296
2.85282876220488,-0.192407367962989,0.165709881248366,NA,NA,NA,NA,0.0538804545625321,NA,5,4.94158692763276,7.61682614473448,8.9204182115759,0.0040624112029912
2.85282876220488,-0.185384908277535,0.153343875446702,NA,-0.118959366357911,NA,NA,NA,0.00511855121199452,6,8.15648824237811,7.68702351524378,8.9906155820852,0.00392229916848163
2.85282876220488,-0.187207979039048,0.153389420710458,NA,-0.11916417782623,0.00382954670366131,NA,NA,NA,6,8.15428539897917,7.69142920204167,8.99502126888309,0.00391366846718141
2.85282876220488,NA,NA,-0.0832411609385242,NA,0.121723886647692,-0.111542053947638,NA,NA,5,4.84907734980762,7.80184530038476,9.10543736722618,0.00370345849657235
2.85282876220488,NA,NA,-0.0588321310238927,NA,NA,-0.137541299034234,NA,NA,4,2.29689119626929,7.85066205190586,9.15425411874728,0.00361415737121097
2.85282876220488,-0.157076915316022,NA,-0.155783936515455,0.00367410892508701,0.131696411915872,NA,NA,NA,6,8.05702937990676,7.88594124018649,9.1895333070279,0.0035509640924865
2.85282876220488,NA,NA,NA,-0.108052304071152,0.0796795659681706,NA,NA,0.107747984296038,5,4.74766683417513,8.00466633164973,9.30825839849115,0.00334630447867066
2.85282876220488,-0.0817716228123307,NA,NA,-0.109575518364546,NA,NA,NA,0.10080787586587,5,4.72511856482559,8.04976287034882,9.35335493719024,0.00327169541762465
2.85282876220488,NA,NA,NA,NA,NA,-0.184601291807996,-0.0569548763189654,NA,4,2.14603095255011,8.15238253934423,9.45597460618565,0.0031080592386761
2.85282876220488,NA,NA,-0.094665225514532,NA,NA,NA,NA,NA,3,0.000479667443144427,8.39904066511371,9.70263273195513,0.00274743961667584
2.85282876220488,-0.0905733388479183,NA,NA,-0.0973342192083316,0.0939466825823696,-0.0973474283335018,NA,NA,6,7.78812963353966,8.42374073292068,9.7273327997621,0.00271371730870431
2.85282876220488,NA,0.0342078870273358,NA,NA,NA,-0.142659096288763,NA,NA,4,1.97159046689195,8.50126351066054,9.80485557750196,0.00261054237622557
2.85282876220488,NA,NA,NA,NA,NA,NA,0.0431760186821431,0.149232377341832,4,1.96198147446704,8.52048149551036,9.82407356235178,0.00258557782846944
2.85282876220488,-0.177884821048576,0.139868892331598,NA,NA,NA,NA,NA,0.0266662038723133,5,4.42257195997234,8.65485608005532,9.95844814689674,0.00241756714381831
2.85282876220488,NA,NA,NA,NA,0.1537086916152,NA,0.0902564300588004,NA,4,1.87374521343579,8.69695401757287,10.0005460844143,0.00236721167309126
2.85282876220488,-0.186861274525792,0.139045793468765,NA,NA,0.0213053776644199,NA,NA,NA,5,4.39228258757328,8.71543482485343,10.0190268916949,0.00234543843341704
2.85282876220488,NA,NA,-0.0815793370059945,NA,NA,-0.0804135601520113,NA,0.12138543294732,5,4.3677369939531,8.7645260120938,10.0681180789352,0.0022885690563017
2.85282876220488,NA,NA,NA,NA,0.0828601110141656,-0.108510526925259,NA,0.0734660518868788,5,4.35978132642579,8.78043734714843,10.0840294139898,0.00227043419489066
2.85282876220488,NA,0.0325846761862621,NA,NA,NA,NA,NA,0.13971063850734,4,1.82981491498547,8.7848146144735,10.0884066813149,0.00226547048004125
2.85282876220488,NA,0.0807357718728732,NA,-0.12902361763914,NA,NA,NA,NA,4,1.6964425428814,9.05155935868164,10.3551514255231,0.00198260191935894
2.85282876220488,NA,0.0767851737267336,NA,NA,NA,NA,NA,NA,3,-0.331854208230401,9.0637084164608,10.3673004833022,0.00197059505167656
