"(Intercept)","Elev.CV","RainTotal","V.NStemsT","Latitude","V.TShan","ForestLossZOI","V.Cstorage2","PA_area","df","logLik","AICc","delta","weight"
2.85282876220488,-0.230138523783215,0.155200052573945,-0.13637105013285,NA,NA,NA,NA,NA,5,9.40179603342071,-1.30359206684142,0,0.351421302417623
2.85282876220488,-0.188847844598133,0.156370074792887,NA,-0.11943392156641,NA,NA,NA,NA,5,8.15181496691815,1.19637006616369,2.49996213300511,0.100685795177703
2.85282876220488,-0.156182868336674,NA,-0.152865412410138,NA,0.131110186446898,NA,NA,NA,5,8.05509283885402,1.38981432229196,2.69340638913338,0.0914033930551726
2.85282876220488,-0.196075350022786,0.155618987256166,NA,NA,NA,NA,NA,NA,4,4.34727936595435,3.74988571253574,5.05347777937715,0.028085316795158
2.85282876220488,-0.207532952657185,0.111362760982198,-0.143394453377584,NA,0.0563265221806822,NA,NA,NA,6,10.0573911143912,3.88521777121767,5.18880983805909,0.026247765889655
2.85282876220488,-0.218445732925222,0.155599045525919,-0.100709766436957,-0.0460253197985676,NA,NA,NA,NA,6,9.80364622284455,4.39270755431089,5.69629962115231,0.0203653715384402
2.85282876220488,NA,NA,NA,NA,NA,-0.152868603086671,NA,NA,3,1.81648615167065,4.76702769665869,6.07061976350011,0.016889226167076
2.85282876220488,-0.167846062598653,NA,-0.136797635361421,NA,NA,NA,NA,NA,4,3.79759228444956,4.84925987554533,6.15285194238675,0.0162088894672552
2.85282876220488,-0.227714410529719,0.158503656761898,-0.131451719422572,NA,NA,NA,0.0175589436044665,NA,6,9.5176819291597,4.9646361416806,6.26822820852201,0.0153002886038722
2.85282876220488,NA,NA,NA,NA,NA,NA,NA,0.150019509148943,3,1.69338813968239,5.01322372063521,6.31681578747663,0.0149330652971676
2.85282876220488,-0.220895990416576,0.147014449183485,-0.130462875764516,NA,NA,-0.0170245391017219,NA,NA,6,9.47908958486929,5.04182083026143,6.34541289710284,0.0147210633174004
2.85282876220488,-0.219998266584209,0.146575163641629,-0.135664601549755,NA,NA,NA,NA,0.0146063194793154,6,9.44800560942514,5.10398878114972,6.40758084799114,0.0142705128729501
2.85282876220488,NA,NA,NA,-0.1104791398414,NA,NA,NA,0.137064543167123,4,3.64364457761951,5.15715528920543,6.46074735604685,0.0138961540868928
2.85282876220488,NA,NA,NA,NA,0.105748787909255,-0.135806116717143,NA,NA,4,3.59093791353525,5.26256861737394,6.56616068421536,0.013182701179002
2.85282876220488,-0.134578757152191,NA,-0.128971314283626,NA,0.119809300011752,-0.0646145832804569,NA,NA,6,9.31599775914109,5.36800448171783,6.67159654855925,0.0125057372773988
2.85282876220488,NA,NA,NA,-0.103502402036943,NA,-0.135226816856643,NA,NA,4,3.50063262997461,5.44317918449522,6.74677125133664,0.0120444041936891
2.85282876220488,NA,NA,-0.104824176687694,NA,NA,NA,NA,0.156810530695849,4,3.44184934310904,5.56074575822637,6.86433782506779,0.0113568022654064
2.85282876220488,-0.100293514880391,NA,NA,NA,NA,-0.126544859268255,NA,NA,4,3.31357397443986,5.81729649556473,7.12088856240615,0.00998956965621458
2.85282876220488,NA,NA,NA,NA,NA,-0.108978831759251,NA,0.104051229672676,4,3.2310974393867,5.98224956567104,7.28584163251246,0.00919872584379019
2.85282876220488,-0.130373650977247,NA,-0.147381015396373,NA,0.110980554137254,NA,NA,0.0603628226086248,6,9.0006902848566,5.99861943028679,7.30221149712821,0.00912374218215274
2.85282876220488,-0.119692327635383,NA,-0.131533022531289,NA,NA,NA,NA,0.105315457766033,5,5.73767268116318,6.02465463767363,7.32824670451505,0.00900574262429075
2.85282876220488,-0.126030065605568,NA,NA,-0.118606225786097,NA,NA,NA,NA,4,3.15517077667044,6.13410289110356,7.43769495794498,0.00852615345372867
