"(Intercept)","Africa","Asia","V.NStemsT","Latitude","V.TShan","Elev.CV","WC_Bio12","ForestLossZOI","V.Cstorage2","Elev.Mean","PA_area","df","logLik","AICc","delta","weight"
0.287979590065343,-0.0196928771316854,0.011374705123288,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,45.4688953960867,-78.4933463477289,0,0.431354783638418
0.290133891903334,-0.0242794404332722,0.0054677188605181,-0.00444838135065876,NA,NA,NA,NA,NA,NA,NA,NA,5,46.4917812353169,-75.4835624706339,3.00978387709503,0.0957785711571875
0.289211961590178,-0.0226325790274052,0.00862750824087849,NA,-0.00375089312645987,NA,NA,NA,NA,NA,NA,NA,5,46.4021201449703,-75.3042402899407,3.18910605778825,0.0875646945532917
0.286193295649702,-0.0137237636263088,0.0119405390220221,NA,NA,0.003840017958531,NA,NA,NA,NA,NA,NA,5,46.0168630162023,-74.5337260324047,3.95962031532423,0.0595681334677294
0.287930456969122,-0.0204430579317161,0.013218998396892,NA,NA,NA,-0.00270106330456732,NA,NA,NA,NA,NA,5,45.9718741621599,-74.4437483243198,4.04959802340906,0.0569476203248706
0.287372209804057,-0.0176965898058306,0.0116337923005784,NA,NA,NA,NA,0.00133630409596691,NA,NA,NA,NA,5,45.5388223293181,-73.5776446586362,4.91570168909266,0.0369320623016661
0.288014232397824,-0.0193156754262284,0.0103778053850071,NA,NA,NA,NA,NA,0.000864975757769162,NA,NA,NA,5,45.5096527632846,-73.5193055265692,4.9740408211597,0.0358703304811715
0.287891567750198,-0.0191465230790715,0.0108981532240726,NA,NA,NA,NA,NA,NA,-0.00076096876795227,NA,NA,5,45.5028406000358,-73.5056812000717,4.98766514765724,0.0356268063389912
0.288146631641707,-0.0203614657150801,0.0115425912555284,NA,NA,NA,NA,NA,NA,NA,0.000705489760198515,NA,5,45.4973212647174,-73.4946425294348,4.99870381829406,0.0354307117023126
0.287971515086765,-0.019684980315928,0.0114154363418158,NA,NA,NA,NA,NA,NA,NA,NA,7.30047640446553e-05,5,45.4692722034723,-73.4385444069445,5.0548019407844,0.0344507216500542
0.290684011864478,-0.0267249226934542,0.00650784365288122,-0.00573555625010967,NA,NA,-0.00402657870609728,NA,NA,NA,NA,NA,6,47.7552938606895,-71.5105877213789,6.98275862634998,0.0131385624201146
0.292707105005754,-0.0318501679260661,0.00259668212916771,-0.00745574400404695,NA,NA,NA,NA,NA,NA,0.00471665402660734,NA,6,47.5290896058787,-71.0581792117574,7.43516713597154,0.0104787285230768
0.291227242564334,-0.0246370982850791,-0.00147042006286258,-0.0063935157445602,NA,NA,NA,NA,0.00377886083198371,NA,NA,NA,6,47.2149665427902,-70.4299330855803,8.0634132621486,0.00765396859804907
0.285255354959446,-0.0125800010382796,0.0162185986777549,NA,NA,NA,-0.00545421290566159,0.00577533900607804,NA,NA,NA,NA,6,46.8833864072202,-69.7667728144404,8.72657353328853,0.00549393166092743
0.289104433851873,-0.0231593963798179,0.0104338371138423,NA,-0.00355866687587293,NA,-0.00243927010721522,NA,NA,NA,NA,NA,6,46.866850697594,-69.7337013951879,8.75964495254095,0.00540383258135573
0.288573892733336,-0.0194025971669308,0.00663402651782871,-0.00387608547753232,NA,0.00275774174496352,NA,NA,NA,NA,NA,NA,6,46.7946167502358,-69.5892335004716,8.90411284725734,0.0050272569216819
0.290138534553103,-0.0258348360287814,0.00854601150315626,NA,-0.00470396009414054,NA,NA,NA,NA,NA,0.00259082101909833,NA,6,46.7851009363123,-69.5702018726245,8.92314447510439,0.00497964537086959
0.285596818286996,-0.0124192261055167,0.013506805519377,NA,NA,0.00736225141064854,NA,NA,NA,NA,0.00440078231360402,NA,6,46.7701643931882,-69.5403287863765,8.95301756135242,0.00490581940792942
0.284848724418301,-0.00674330906679008,0.00739162852278957,NA,NA,0.0071062270168149,NA,NA,0.00436452580463709,NA,NA,NA,6,46.7616886838444,-69.5233773676887,8.96996898004016,0.00486441482301495
0.290177210596898,-0.0234597323313987,0.0035250718018279,-0.00499958824586304,NA,NA,NA,NA,NA,-0.00193327583501188,NA,NA,6,46.7318958735142,-69.4637917470285,9.02955460070044,0.00472162780949211
0.290072940521875,-0.0243256205466431,0.00598673875747541,-0.00290542958472358,-0.00208879742904512,NA,NA,NA,NA,NA,NA,NA,6,46.6752317646873,-69.3504635293746,9.14288281835428,0.00446151996012282
0.289419871797401,-0.0221277385773657,0.00616245589023671,NA,-0.00415421988243973,NA,NA,NA,0.00188253206493508,NA,NA,NA,6,46.6136901160136,-69.2273802320271,9.26596611570176,0.00419522870762645
0.288076445523172,-0.0190561291968689,0.00942322104885008,NA,-0.00305696305301388,0.00195091162133678,NA,NA,NA,NA,NA,NA,6,46.5244594343797,-69.0489188687594,9.44442747896954,0.00383710116243733
0.28911794105273,-0.0218160121959024,0.00765251834000744,NA,-0.00393644730549854,NA,NA,NA,NA,-0.00133987439841323,NA,NA,6,46.5206299850294,-69.0412599700587,9.45208637767016,0.00382243527693917
0.290546522332144,-0.0255068897771776,0.00503420454665969,-0.00467802299383289,NA,NA,NA,-0.000663152059610364,NA,NA,NA,NA,6,46.5086978922189,-69.0173957844378,9.47595056329108,0.00377709665469896
0.29013992362442,-0.0242863622333413,0.00543934041305761,-0.00445021674858508,NA,NA,NA,NA,NA,NA,NA,-4.6495869320332e-05,6,46.4919579370863,-68.9839158741726,9.50943047355632,0.00371439450597064
