"Site.Code","Shannon.Index","Shannon.Index.sd"
"CAX",2.99661481731316,0.0526134486418307
"CSN",3.17408209577543,0.043792128374902
"MAS",2.99546826494666,0.0281139657631511
"VB-",2.49172671840122,0.135486257406805
"BIF",2.55516382165578,0.107056070374623
"BBS",2.65995381033523,0.114541359972148
"NAK",2.36099118193547,0.159836757606352
"NNN",3.13852086781807,0.0468039991123393
"YAS",3.29658961526562,0.0355415739253373
"RNF",2.44428150559972,0.0453614976558591
"UDZ",2.86541621538946,0.0522752237897612
"BCI",2.89119582418772,0.0613372605381412
"YAN",2.63182516192506,0.0794453783438007
"COU",3.21965513595721,0.0501250540565481
"KRP",2.93701825606091,0.0302288980566508
"PSH",2.81617265601249,0.149301723510477
