"(Intercept)","Elev.CV","V.NStemsT","RainTotal","PA_area","Latitude","V.Cstorage2","V.TShan","ForestLossZOI","df","logLik","AICc","delta","weight"
34.7857142857143,-4.4188864123101,-5.67590469947634,NA,NA,NA,NA,NA,NA,4,-41.0177871598581,94.4800187641607,0,0.282326756202113
34.7857142857143,-5.35091375581349,-5.66952207965682,2.3221219704822,NA,NA,NA,NA,NA,5,-39.4164656517947,96.3329313035894,1.85291253942874,0.11178851645502
34.7857142857143,-3.38225993282739,-5.56257108022329,NA,2.26717184663627,NA,NA,NA,NA,5,-39.577368819434,96.6547376388679,2.17471887470724,0.0951738931655624
34.7857142857143,NA,-4.80783382234286,NA,3.72231709570446,NA,NA,NA,NA,4,-42.3143798903612,97.0732042251667,2.59318546100606,0.0772056298264896
34.7857142857143,NA,NA,NA,NA,-4.73491220651477,NA,NA,NA,3,-44.9623305675698,98.3246611351397,3.84464237097899,0.0412951031276299
34.7857142857143,-4.70921210322411,-6.05604938734952,NA,NA,NA,-1.35938875376847,NA,NA,5,-40.4664102991061,98.4328205982122,3.9528018340515,0.0391211872277093
34.7857142857143,NA,-4.56668396168947,NA,NA,NA,NA,NA,NA,3,-45.2388227070008,98.8776454140016,4.39762664984096,0.0313198407083057
34.7857142857143,NA,NA,NA,2.89543159425619,-4.39538912677208,NA,NA,NA,4,-43.2866549900844,99.0177544246132,4.5377356604525,0.0292008342730861
34.7857142857143,-4.33995376837121,-5.7846461039482,NA,NA,NA,NA,0.887310408376705,NA,5,-40.7712854932373,99.0425709864747,4.562552222314,0.0288407408085981
34.7857142857143,-4.16608174944208,-4.91532833794922,NA,NA,-0.98164853294393,NA,NA,NA,5,-40.8842381962637,99.2684763925275,4.7884576283668,0.0257603450489815
34.7857142857143,-2.70638397620822,NA,NA,NA,-4.56429332343437,NA,NA,NA,4,-43.5059442138338,99.456332872112,4.97631410795132,0.0234508808271629
34.7857142857143,-4.51554648884872,-5.77213618092219,NA,NA,NA,NA,NA,0.276241245547514,5,-40.9980090010254,99.4960180020508,5.0159992378901,0.0229901414433824
34.7857142857143,-6.36237493483614,-6.31608604382235,3.21791749838486,NA,NA,NA,NA,1.86308879925705,6,-38.4971057117408,100.994211423482,6.51419265932087,0.0108695878097508
34.7857142857143,NA,-3.44881983407942,NA,3.41317697086883,-1.88549771371747,NA,NA,NA,5,-41.8614409187659,101.222881837532,6.74286307337101,0.00969522574787539
34.7857142857143,NA,-2.42932735632635,NA,NA,-3.00972515063333,NA,NA,NA,4,-44.4141740365825,101.272792517609,6.79277375344869,0.00945627207856877
34.7857142857143,NA,NA,NA,NA,-4.45303862491489,NA,NA,-1.65372102268688,4,-44.466607636464,101.377659717373,6.89764095321185,0.00897322042594726
34.7857142857143,NA,NA,NA,NA,NA,NA,NA,NA,2,-48.1520724576248,101.395054006159,6.915035241998,0.00889551741915623
34.7857142857143,NA,-4.9370319584361,-1.03758440176036,4.05894956189551,NA,NA,NA,NA,5,-42.0592651718903,101.618530343781,7.13851157961986,0.00795506887857629
34.7857142857143,NA,NA,NA,3.41084216584408,NA,NA,NA,NA,3,-46.6777618418079,101.755523683616,7.27550491945505,0.00742841603068395
34.7857142857143,NA,-4.92096077898968,NA,3.73868474984136,NA,-0.495795897459617,NA,NA,5,-42.2528114888896,102.005622977779,7.52560421361856,0.0065552286821351
34.7857142857143,NA,-4.96821427754068,NA,3.96673664774849,NA,NA,NA,0.554822642696495,5,-42.2542826633262,102.008565326652,7.52854656249161,0.0065455918877133
34.7857142857143,NA,NA,0.903358838257357,NA,-4.76257231880289,NA,NA,NA,4,-44.8138247051115,102.072093854667,7.5920750905068,0.0063409434392751
34.7857142857143,-3.68332576029683,-5.90777903869448,NA,2.17787064241775,NA,-1.21849236823269,NA,NA,6,-39.0361170804569,102.072234160914,7.59221539675302,0.00634049861789234
34.7857142857143,-5.91593495915299,-5.49397368361082,3.41782528663477,NA,NA,NA,-1.40786884635761,NA,6,-39.0406491962894,102.081298392579,7.60127962841807,0.00631182776261377
34.7857142857143,NA,-4.79101241890712,NA,3.77273598546211,NA,NA,-0.138649685157791,NA,5,-42.3100930366803,102.120186073361,7.64016730919994,0.00619028702947683
34.7857142857143,-4.44275155302349,-5.6062524910468,1.54967626443457,1.30814307888454,NA,NA,NA,NA,6,-39.0619015397502,102.1238030795,7.64378431533963,0.00617910199351529
34.7857142857143,-5.4872491757741,-5.94619191649038,2.1363227865131,NA,NA,-0.98753882349645,NA,NA,6,-39.0676944648515,102.135388929703,7.65537016554229,0.00614341039765558
34.7857142857143,-3.6577980113816,NA,2.36832129733006,NA,-4.57682928689682,NA,NA,NA,5,-42.3759885563632,102.251977112726,7.77195834856565,0.00579552423369604
34.7857142857143,-3.61048390927622,-5.97040019114981,NA,2.71290122528156,NA,NA,NA,1.23467191245986,6,-39.1411832613168,102.282366522634,7.80234775847283,0.00570812860975214
34.7857142857143,NA,NA,NA,NA,-4.7186092029471,NA,0.221503376752587,NA,4,-44.9535300884143,102.351504621273,7.87148585711242,0.00551417572808359
34.7857142857143,NA,-4.2248616905606,NA,NA,NA,NA,NA,-1.31204630462988,4,-44.9551479144303,102.354740273305,7.87472150914427,0.00550526196353863
34.7857142857143,NA,NA,NA,NA,-4.76464295595508,-0.166438328523079,NA,NA,4,-44.9574954746709,102.359435393786,7.8794166296256,0.00549235318743175
34.7857142857143,NA,-4.74877261220131,NA,NA,NA,NA,1.2568102437596,NA,4,-44.9656416332741,102.375727710993,7.89570894683186,0.00544779334943161
34.7857142857143,-5.09159777668536,-4.87864667524088,2.33097060630087,NA,-1.02072302611075,NA,NA,NA,6,-39.2343567377924,102.468713475585,7.98869471142419,0.00520030747879296
34.7857142857143,-2.99413125661697,NA,NA,NA,NA,NA,NA,NA,3,-47.0444774836112,102.488954967222,8.00893620306169,0.00514794192483206
34.7857142857143,-1.78209072054502,NA,NA,2.10527153465042,-4.37569604262621,NA,NA,NA,5,-42.6775985174702,102.85519703494,8.37517827077966,0.00428652325673434
34.7857142857143,NA,-4.6494736826989,NA,NA,NA,-0.366271585772244,NA,NA,4,-45.2167328175779,102.8779100796,8.39789131543965,0.00423811863397082
34.7857142857143,NA,-4.53687941347908,0.287968105167468,NA,NA,NA,NA,NA,4,-45.2245951514722,102.893634747389,8.41361598322813,0.0042049277799532
34.7857142857143,-3.220768614736,-5.0143803097371,NA,2.22014826077269,-0.7105640093479,NA,NA,NA,6,-39.4923970066503,102.984794013301,8.50477524913993,0.00401757097735332
34.7857142857143,-3.39686596038207,-5.58424219840455,NA,2.2057019887591,NA,NA,0.151758820502047,NA,6,-39.5698364608975,103.139672921795,8.65965415763424,0.00371819386890647
34.7857142857143,NA,NA,NA,NA,NA,NA,NA,-2.4127329291619,3,-47.4531094933946,103.306218986789,8.8262002226285,0.00342110979115775
34.7857142857143,NA,NA,NA,3.25024226627201,-4.42476048765724,NA,-0.96434102213064,NA,5,-43.1008551268861,103.701710253772,9.22169148961149,0.00280728932651347
34.7857142857143,NA,NA,NA,2.67223239535748,-4.328185312069,NA,NA,-0.547829683706532,5,-43.2309605458875,103.961921091775,9.48190232761434,0.00246480807958069
34.7857142857143,NA,NA,NA,2.89499567409942,-4.42372038956922,-0.158317578021474,NA,NA,5,-43.2810967428389,104.062193485678,9.58217472151716,0.00234427866569301
34.7857142857143,NA,NA,-0.0267148717182056,2.90409851595435,-4.39355484162672,NA,NA,NA,5,-43.2865086869396,104.073017373879,9.59299860971851,0.00233162582970097
