"Unique_Name","Mass","Class","Family","Guild","Include","Order","Family","Genus","Species","Binomial","ActivityCycle","AdultBodyMass_g","AdultForearmLen_mm","AdultHeadBodyLen_mm","AgeatEyeOpening_d","AgeatFirstBirth_d","BasalMetRate_mLO2hr","BasalMetRateMass_g","DietBreadth","DispersalAge_d","GestationLen_d","HabitatBreadth","HomeRange_km2","HomeRange_Indiv_km2","InterbirthInterval_d","LitterSize","LittersPerYear","MaxLongevity_m","NeonateBodyMass_g","NeonateHeadBodyLen_mm","PopulationDensity_n.km2","PopulationGrpSize","SexualMaturityAge_d","SocialGrpSize","TeatNumber","Terrestriality","TrophicLevel","WeaningAge_d","WeaningBodyMass_g","WeaningHeadBodyLen_mm","References","AdultBodyMass_g_EXT","LittersPerYear_EXT","NeonateBodyMass_g_EXT","WeaningBodyMass_g_EXT","GR_Area_km2","GR_MaxLat_dd","GR_MinLat_dd","GR_MidRangeLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","HuPopDen_Min_n.km2","HuPopDen_Mean_n.km2","HuPopDen_5p_n.km2","HuPopDen_Change","Precip_Mean_mm","Temp_Mean_01degC","AET_Mean_mm","PET_Mean_mm"
"Arctonyx collaris",6356,"MAMMALIA","MUSTELIDAE","Carnivore",1,"Carnivora","Mustelidae","Arctonyx","collaris","Arctonyx collaris",1,8166.52,NA,690.22,NA,NA,NA,NA,6,NA,42.89,1,NA,NA,NA,3,NA,167,58,NA,NA,NA,NA,NA,6,1,2,165.64,NA,NA,"543;1113;1297;2655",NA,NA,NA,NA,4519063.86,38.98,-5.12,16.92,122.7,91.42,107.06,1,250.46,6,0.07,124.48,169.67,1020.9,1215.32
"Argusianus argus",2380,"AVES","PHASIANIDAE","Omnivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelocynus microtis",7750,"MAMMALIA","CANIDAE","Carnivore",1,"Carnivora","Canidae","Atelocynus","microtis","Atelocynus microtis",NA,8363.22,NA,831.01,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,"543;890;1113;2655",NA,NA,NA,NA,7634256.6,4.79,-32.31,-13.76,-43.54,-78.61,-61.08,0,7.43,0,0.12,163.06,235.49,1316.27,1488
"Atelornis crossleyi",79,"AVES","BRACHYPTERACIIDAE",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelornis pittoides",91.5,"AVES","BRACHYPTERACIIDAE",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atherurus africanus",1934,"MAMMALIA","HYSTRICIDAE","Omnivore",1,"Rodentia","Hystricidae","Atherurus","africanus","Atherurus africanus",1,2875.65,NA,430.99,0,NA,NA,NA,5,NA,108.18,2,0.12,0.1,NA,1.5,2.75,274.8,146.27,180,NA,NA,NA,1,NA,2,2,45.37,NA,NA,"543;903;904;1297;1573;2151;2359;2655",NA,NA,NA,NA,5140711.56,12.42,-12.53,-0.05,36.65,-16.62,10.01,0,44.07,1,0.12,139.92,240.77,1261.44,1545.9
"Atherurus macrourus",2000,"MAMMALIA","HYSTRICIDAE","Omnivore",1,"Rodentia","Hystricidae","Atherurus","macrourus","Atherurus macrourus",1,2000,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,"1297;2151;2655",NA,NA,NA,NA,2597040.51,31.4,-5.94,12.72,111.03,92.34,101.69,1,111.44,5,0.1,168.29,215.83,1225.15,1515.46
"Atilax paludinosus",3300,"MAMMALIA","HERPESTIDAE","Carnivore",1,"Carnivora","Herpestidae","Atilax","paludinosus","Atilax paludinosus",2,3600.16,NA,499.01,11.5,NA,NA,NA,6,NA,77.27,2,1.73,1.62,182.5,2,2,209,100,NA,NA,NA,234.83,NA,4,1,2,35.89,549.99,NA,"543;1113;1297;1573;2655",NA,NA,NA,NA,14296320.45,17.06,-34.83,-8.88,41.88,-16.82,12.52,0,37.15,1,0.13,99.93,233.39,986.68,1518.76
"Baryphthengus martii",195,"AVES","MOMOTIDAE","Omnivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bassariscus sumichrasti",900,"MAMMALIA","PROCYONIDAE","Omnivore",0,"Carnivora","Procyonidae","Bassariscus","sumichrasti","Bassariscus sumichrasti",1,906,NA,423.73,NA,NA,448.2,906,6,NA,NA,1,NA,NA,NA,2,NA,276,NA,NA,17.89,NA,841.82,NA,4,1,2,119.32,NA,NA,"367;543;730;1113;1297;2151;2655",NA,NA,NA,NA,625977.74,21.6,8.51,15.06,-82.32,-100.68,-91.5,3,60.47,5,0.14,134.37,230.31,1232.18,1616.96
"Bdeogale crassicauda",1550,"MAMMALIA","HERPESTIDAE","Carnivore",1,"Carnivora","Herpestidae","Bdeogale","crassicauda","Bdeogale crassicauda",1,1722.13,NA,444.53,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,"1113;1297;2655",NA,NA,NA,NA,1654322.83,-1.38,-20.63,-11.01,41.24,25.81,33.53,1,38.56,3,0.18,82.89,229.26,902.39,1521.03
"Bdeogale nigripes",2500,"MAMMALIA","HERPESTIDAE","Carnivore",1,"Carnivora","Herpestidae","Bdeogale","nigripes","Bdeogale nigripes",1,2623.01,NA,611.37,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,1,NA,190,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,"543;1113;2655",NA,NA,NA,NA,3117248.8,8.25,-6.77,0.73,31.3,7.92,19.61,0,21.16,1,0.12,145.53,242.16,1350.44,1561.7
"Bleda notatus",39.2,"AVES","PYCNONOTIDAE","Insectivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bleda syndactylus",46.15,"AVES","PYCNONOTIDAE","Insectivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypteracias squamiger",170,"AVES","BRACHYPTERACIIDAE","Insectivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buteogallus anthracinus",950,"AVES","ACCIPITRIDAE","Carnivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buteogallus urubitinga",1100,"AVES","ACCIPITRIDAE","Carnivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bycanistes fistulator",550,"AVES","BUCEROTIDAE","Omnivore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabassous centralis",3810,"MAMMALIA","DASYPODIDAE","Insectivore",1,"Cingulata","Dasypodidae","Cabassous","centralis","Cabassous centralis",1,3669.69,NA,415.89,NA,NA,811.53,3810,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,"708;889;890;905;1297;1822;1946;1947;1995;2151;2655",NA,NA,NA,NA,669685.02,16.88,4.6,10.74,-69.4,-91.47,-80.43,2,55.18,4,0.14,167.79,241.52,1374.48,1690.31
"Cabassous tatouay",5350,"MAMMALIA","DASYPODIDAE","Insectivore",1,"Cingulata","Dasypodidae","Cabassous","tatouay","Cabassous tatouay",NA,5349.95,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,"889;890;2655",NA,NA,NA,NA,4148382.28,-5.16,-34.98,-20.07,-38.3,-58.85,-48.57,0,41.25,1,0.09,123.8,219.62,1142.35,1395.23
"Cabassous unicinctus",4800,"MAMMALIA","DASYPODIDAE","Insectivore",1,"Cingulata","Dasypodidae","Cabassous","unicinctus","Cabassous unicinctus",1,3987.97,NA,453.64,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,100,NA,0.62,NA,NA,1,NA,1,3,NA,NA,NA,"730;889;890;905;1995;2151;2431;2655",NA,NA,NA,NA,9346240.23,11.4,-23.37,-5.98,-34.79,-78.09,-56.44,0,12.88,0,0.12,161.32,246.91,1330.57,1560.63
"Callosciurus caniceps",257,"MAMMALIA","SCIURIDAE","Omnivore",0,"Rodentia","Sciuridae","Callosciurus","caniceps","Callosciurus caniceps",NA,264.91,NA,211.08,NA,NA,NA,NA,NA,NA,NA,1,0.01,0.01,NA,2.19,NA,114,NA,NA,18.6,NA,NA,NA,NA,2,NA,NA,NA,NA,"32;730;1297;1971;2530;2655;2844",NA,NA,NA,NA,420861.69,20.24,2.65,11.44,103.04,97.69,100.36,3,112.44,8,0.08,183.7,249.01,1283.38,1697.82
"Callosciurus erythraeus",280,"MAMMALIA","SCIURIDAE","Herbivore",1,"Rodentia","Sciuridae","Callosciurus","erythraeus","Callosciurus erythraeus",NA,283.23,NA,211.93,NA,NA,NA,NA,3,NA,NA,1,0.00895,0.00878,NA,1.94,2,193.2,NA,NA,622.69,NA,NA,NA,NA,2,1,NA,NA,NA,"32;543;1297;1573;1971;2584;2655;2799;2844",NA,NA,NA,NA,2354368.13,31.76,6.6,19.18,122.13,88.61,105.37,1,206.18,5,0.08,142.62,188.9,1101.79,1352.84
"Callosciurus notatus",205,"MAMMALIA","SCIURIDAE","Omnivore",0,"Rodentia","Sciuridae","Callosciurus","notatus","Callosciurus notatus",3,209.49,NA,203.5,NA,NA,NA,NA,6,NA,NA,1,0.02,0.01,NA,2.62,NA,115.2,NA,NA,98.32,NA,413.84,NA,5,2,2,NA,NA,NA,"32;543;730;1297;1971;2152;2530;2655;2844",NA,NA,NA,NA,1474469.76,9.25,-8.78,0.23,119.26,95.18,107.22,1,153.2,4,0.14,237.33,248.57,1665.17,1740.34
"Caluromys derbianus",330,"MAMMALIA","DIDELPHIDAE","Omnivore",0,"Didelphimorphia","Didelphidae","Caluromys","derbianus","Caluromys derbianus",1,326.72,NA,231,NA,NA,215.11,344,3,NA,NA,1,NA,NA,NA,3.14,NA,60,NA,NA,11.86,NA,251.71,1,NA,2,2,NA,NA,NA,"256;498;730;889;890;905;955;1297;1412;1822;2151;2655",NA,NA,NA,NA,678553.48,20.73,-2.92,8.9,-76.63,-98.33,-87.48,2,53.45,3,0.14,189.71,234.61,1341.7,1596.59
"Canirallus kioloides",269,"AVES","RALLIDAE","Omnivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canirallus oculeus",277,"AVES","RALLIDAE","Omnivore",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
