"(Intercept)","Africa","Asia","Elev.CV","Elev.Mean","V.NStemsT","V.TShan","ForestLossZOI","Latitude","PA_area","WC_Bio12","V.Cstorage2","df","logLik","AICc","delta","weight"
2.91333025247919,-0.0773472613121554,-0.230142278639818,-0.172080969371434,-0.131759922328566,-0.126468938376912,NA,NA,NA,NA,NA,NA,7,12.0319430111523,8.60278064436201,0,0.188191819254251
2.97548353261831,-0.242499304115166,-0.252335132606072,-0.185500875620205,NA,-0.163821614934471,NA,NA,NA,NA,NA,NA,6,7.61585012787568,8.76829974424864,0.165519099886634,0.173244208320041
2.88514353595095,0.0160757540860726,-0.266392801437688,-0.131611572057562,NA,-0.185771596973516,0.157522957881424,NA,NA,NA,NA,NA,7,11.3609598206097,9.94474702544728,1.34196638108527,0.0962047340828956
2.87073970974015,-0.0021462328063168,-0.120011050731128,-0.146913030672272,-0.178990413223164,NA,NA,NA,NA,NA,NA,NA,6,6.9488635501448,10.1022728997104,1.49949225534839,0.0889180918927912
2.82486999895716,0.204026007722948,-0.31435367657336,NA,NA,-0.178928456811259,0.24101701839421,NA,NA,NA,NA,NA,6,6.80990732805426,10.3801853438915,1.77740469952948,0.0773824033678306
2.85317892018092,0.0809712105000642,-0.204879132082447,NA,-0.18907719401501,NA,NA,NA,NA,NA,NA,NA,5,2.8378724838135,11.824255032373,3.22147438801099,0.0375894927738412
2.90497633321474,-0.154886683357019,0.0221837113235273,NA,NA,NA,NA,-0.169979629895083,NA,NA,NA,NA,5,2.7513696258464,11.9972607483072,3.39448010394519,0.0344745615563721
2.92062811565241,-0.218855265242246,0.0725426889729206,-0.135001868009431,NA,NA,NA,-0.148663810480474,NA,NA,NA,NA,6,5.91331562005986,12.1733687598803,3.57058811551827,0.0315687497743161
2.87741860349111,-0.0022109924961622,-0.166601407763216,-0.133592000601177,-0.161753627100152,NA,NA,NA,-0.0971660641743295,NA,NA,NA,7,10.2357735228166,12.1951196210336,3.59233897667155,0.0312272861751316
2.94605816879489,-0.219318421596696,-0.104309792138356,-0.156008438588483,NA,NA,NA,NA,NA,NA,NA,NA,5,2.53783678975188,12.4243264204962,3.82154577613423,0.0278459871989235
2.93186793399952,-0.143787800694733,-0.193804700825661,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.213690000954168,12.8718244463528,4.26904380199077,0.0222633061003858
2.89958726413861,-0.0909964809623429,-0.0998183111302692,NA,NA,NA,NA,NA,NA,0.137946423824968,NA,NA,5,2.01415703384149,13.471685932317,4.86890528795502,0.0164942051116819
2.86287934766189,0.072056466823036,-0.25049526525666,NA,-0.167789282038321,NA,NA,NA,-0.113956194687998,NA,NA,NA,6,5.25018161119597,13.4996367776081,4.89685613324606,0.0162652949082038
2.93286272340989,-0.124398907155662,-0.249240460545933,NA,NA,NA,NA,NA,-0.134802510607733,NA,NA,NA,5,1.98975632565344,13.5204873486931,4.91770670433111,0.0160966054102984
2.94536929553168,-0.194309143428521,-0.162010874716334,-0.13897856600011,NA,NA,NA,NA,-0.116555273097252,NA,NA,NA,6,4.96852743757765,14.0629451248447,5.46016448048269,0.0122727274195458
2.83189592126679,0.118634425398338,-0.150056176929231,NA,NA,NA,0.176899788097882,NA,NA,NA,NA,NA,5,1.66127748295297,14.1774450340941,5.57466438973204,0.0115898482372072
2.95318087267613,-0.150882566176887,-0.325258357856504,NA,NA,-0.130559317548836,NA,NA,NA,NA,NA,NA,5,1.60261915815508,14.2947616836898,5.69198103932783,0.0109295621091648
2.8333057331258,0.136853782537103,-0.205473252789205,NA,NA,NA,0.17615899816076,NA,-0.134311586062193,NA,NA,NA,6,4.681326563642,14.637346872716,6.034566228354,0.00920897584416314
2.84163295631764,0.083828016472456,-0.131199399970484,NA,-0.157538236193071,NA,NA,NA,NA,0.105430496250544,NA,NA,6,4.6767892672956,14.6464214654088,6.04364082104679,0.00916728664136662
2.92095249619826,-0.0984309607367318,-0.230788736111831,NA,NA,-0.12936380789945,NA,NA,NA,0.136888974604354,NA,NA,6,4.59575106201975,14.8084978759605,6.2057172315985,0.00845369092656911
2.95572990852794,-0.200117758904332,-0.220013627000625,-0.151188192975936,NA,-0.157089254509921,NA,NA,NA,0.0663803984061809,NA,NA,7,8.72544543450268,15.2157757976613,6.61299515329931,0.00689615618122734
2.91079250689449,-0.138593090557681,-0.0592634864331031,NA,NA,NA,NA,-0.137819193770958,-0.0986823568426773,NA,NA,NA,6,4.33235816497288,15.3352836700542,6.73250302569222,0.00649615358114981
2.95535078293076,-0.236567395866831,-0.126235655414065,-0.167595761395884,NA,-0.123560770570395,NA,-0.0754200644756426,NA,NA,NA,NA,7,8.66374674623557,15.3391731741955,6.73639252983351,0.00648353244948544
2.90451612733792,-0.0807139825907482,-0.160026599454435,NA,NA,NA,NA,NA,-0.11765905631694,0.120594142041496,NA,NA,6,4.28356724196977,15.4328655160605,6.83008487169846,0.00618680823966812
3.02621861318922,-0.386395645964009,-0.247739841980345,NA,NA,NA,NA,NA,NA,NA,-0.155063225480586,NA,5,1.02535315940659,15.4492936811868,6.8465130368248,0.00613619743122833
2.83159358762461,0.163775755650363,-0.260793167063996,NA,NA,-0.168518992719134,0.192663409880547,NA,NA,0.0807806732093265,NA,NA,7,8.464349786285,15.7379670940967,7.13518644973466,0.00531146946820014
2.88100081458063,0.0381216390044813,-0.292508464141446,NA,-0.157093958662893,-0.088893693249461,NA,NA,NA,NA,NA,NA,6,3.960732305139,16.078535389722,7.47575474536,0.00447982680089206
2.89002311129314,-0.117665922547456,0.0338043627508052,NA,NA,NA,NA,-0.130579465928773,NA,0.0905372937185781,NA,NA,6,3.89734606900947,16.2053078619811,7.60252721761904,0.0042046798250298
2.98107581176702,-0.343505651724371,-0.0389652176240456,NA,NA,NA,NA,-0.155027522147647,NA,NA,-0.121180147090585,NA,6,3.86637627552687,16.2672474489463,7.66446680458424,0.00407645751669715
2.99288179551026,-0.33063770578443,-0.153776968676587,NA,NA,NA,NA,NA,NA,0.1368008617529,-0.152886900651294,NA,6,3.72450837732268,16.5509832453546,7.94820260099263,0.00353728844394092
2.92758519053477,-0.112786657280601,-0.241328355107708,NA,-0.168553414358518,NA,NA,NA,NA,NA,-0.108247332820709,NA,6,3.6994974610216,16.6010050779568,7.99822443359479,0.00344991482056441
2.84914412568684,0.00820603530859909,0.00527736735477397,NA,NA,NA,0.10842691250784,-0.135571814583338,NA,NA,NA,NA,6,3.5925214079816,16.8149571840368,8.2121765396748,0.00309991126846918
2.92468948704346,-0.200425790560838,-0.00196059746797633,-0.126171903294207,NA,NA,NA,-0.121940045872639,-0.0862782390421259,NA,NA,NA,7,7.83744883541002,16.9917689958466,8.38898835148463,0.00283762541826998
2.86947437965278,-0.0153083404889252,-0.0782484709129663,NA,-0.113364952324068,NA,NA,-0.0961665099141065,NA,NA,NA,NA,6,3.44669526405729,17.1066094718854,8.50382882752341,0.00267927797010059
2.92226589290191,-0.166165462122599,-0.0706462595727226,-0.11354054422879,NA,NA,NA,NA,NA,0.0851655168196747,NA,NA,6,3.41875515049924,17.1624896990015,8.55970905463951,0.00260545475629571
2.94175877087291,-0.186756219516638,-0.155619511884605,NA,NA,NA,NA,NA,NA,NA,NA,0.0647999026550114,5,0.158925299647226,17.1821494007055,8.57936875634354,0.00257996899049323
