"(Intercept)","Africa","Asia","Elev.CV","V.NStemsT","WC_Bio12","Latitude","V.TShan","PA_area","V.Cstorage2","ForestLossZOI","Elev.Mean","df","logLik","AICc","delta","weight"
32.4889781072329,6.9338109052858,0.441768924988282,-7.69161252009537,-6.3281349255425,6.03480372407364,NA,NA,NA,NA,NA,NA,7,-35.2977148586139,103.262096383895,0,0.375193184437052
32.0261557055794,4.35738209720245,0.395256323148888,NA,NA,NA,-5.44790100630942,NA,NA,NA,NA,NA,5,-43.484116881226,104.468233762452,1.20613737855751,0.205279478933212
30.5551124882424,9.93642401942322,-1.51616412892239,NA,-4.32785792090077,NA,NA,5.91642019536652,NA,NA,NA,NA,6,-40.8722375164539,105.744475032908,2.48237864901331,0.10844593212125
34.493475073882,-1.60485542680972,-2.66925855999381,-5.24803564225805,-7.46108140522465,NA,NA,NA,NA,NA,NA,NA,6,-41.4127733717303,106.825546743461,3.56345035956603,0.0631628222192366
33.6918391705525,1.27964695813465,-1.80827048236217,NA,-5.15728716311961,NA,NA,NA,3.24044465385267,NA,NA,NA,6,-41.5494794609453,107.098958921891,3.83686253799611,0.055092290212611
34.7426184387779,0.110162906975249,-5.1492988100506,NA,-6.01387461368805,NA,NA,NA,NA,NA,NA,NA,5,-45.2841875472724,108.068375094545,4.80627871065033,0.0339300718536142
32.1124101525151,5.34278907691143,-0.948444641299593,NA,NA,NA,-5.57676569225648,NA,NA,-1.60639507059184,NA,NA,6,-42.5192692059743,109.038538411949,5.77644202805401,0.0208889442925602
31.6568549346109,7.58908821355754,0.388907840531739,NA,NA,2.51496726654142,-4.88657957162782,NA,NA,NA,NA,NA,6,-42.6892594634541,109.378518926908,6.11642254301373,0.0176234390513484
30.0379966865694,9.19906111437134,1.80250016359504,NA,NA,NA,-4.34594646110146,3.09822752333003,NA,NA,NA,NA,6,-42.7597655115988,109.519531023198,6.25743463930316,0.0164236723847461
31.5731635119986,4.86480153373132,1.79811610910699,NA,NA,NA,-4.85888384317321,NA,1.46156804685235,NA,NA,NA,6,-42.872473465887,109.744946931774,6.48285054787958,0.0146730984217594
31.5852011068004,4.36861387365753,1.88399345946172,-1.72106870252099,NA,NA,-5.6523506646745,NA,NA,NA,NA,NA,6,-42.9573369258033,109.914673851607,6.65257746771219,0.0134792614844664
33.0440612527255,2.75213593281715,-1.61601287045813,NA,-1.88548318581913,NA,-3.99860460853585,NA,NA,NA,NA,NA,6,-43.0645924878172,110.129184975634,6.86708859173993,0.0121083676624738
32.0469385308062,3.06640125703953,2.37865844243295,NA,NA,NA,-4.99360545299132,NA,NA,NA,-1.60273739157713,NA,6,-43.2514610179382,110.502922035876,7.24082565198192,0.0100445301818554
32.8972853031274,6.30875546197686,-4.46160206583467,NA,-7.26184714004289,NA,NA,8.20628686673679,NA,NA,NA,5.69716114682635,7,-38.952284262728,110.571235192123,7.30913880822823,0.0097072365913654
34.7493194289928,-0.641529657923625,-4.6095169044869,-5.47335335373241,-7.77670855729077,NA,NA,NA,NA,-2.0892388521337,NA,NA,7,-39.0291235828358,110.724913832338,7.46281744844381,0.00898927614638866
31.8742661117156,4.67920817342153,0.451446692528898,NA,NA,NA,-5.23890436871623,NA,NA,NA,NA,-0.39284962884068,6,-43.474214077063,110.948428154126,7.68633177023143,0.00803876260668294
31.7447543151227,5.75908108918861,-1.18409832831957,-3.16246700950323,-5.73937918143167,NA,NA,4.02348539693685,NA,NA,NA,NA,7,-39.3117027298828,111.290072126432,8.02797574253771,0.00677644874327537
33.8716976412394,-0.282603234326434,-1.22620271547209,-3.58790576424269,-6.43216567226162,NA,NA,NA,2.1605133287789,NA,NA,NA,7,-39.4395396844926,111.545746035652,8.2836496517573,0.00596325352711085
28.1697791728509,12.1575283153665,2.81971424487153,NA,NA,NA,NA,NA,NA,NA,NA,-7.94509596208625,5,-47.1149746941873,111.729949388375,8.46785300448018,0.00543856124888839
30.0757627252439,11.5602323368303,4.19820420261838,-4.41272632202415,NA,5.58296662826319,-4.72602338595394,NA,NA,NA,NA,NA,7,-39.6207205339383,111.908107734543,8.64601135064868,0.00497504977953058
24.3775227081036,22.032211325408,6.93537648430126,NA,NA,NA,NA,10.0399818550695,NA,NA,NA,NA,5,-47.4823913506709,112.464782701342,9.2026863174472,0.00376631810057221
